name,default_unit,calories,default_expiration_days
Чечевица,грамм,352,720
Горох,грамм,298,720
Фасоль,грамм,309,720
Фасоль консервированная,грамм,93,365
Кукуруза консервированная,грамм,58,365
Горошек консервированный,грамм,55,365
Мука пшеничная,грамм,364,180
Мука ржаная,грамм,325,180
Мука кукурузная,грамм,331,180
Мука гречневая,грамм,353,180
Крахмал картофельный,грамм,343,720
Крахмал кукурузный,грамм,381,720
Хлеб белый,грамм,265,5
Хлеб ржаной,грамм,259,5
Хлеб тостовый,грамм,266,7
Батон,грамм,277,5
Лаваш,грамм,236,5
Сухари панировочные,грамм,395,180
Молоко,миллилитр,42,7
Молоко сгущенное,грамм,321,365
Сливки 10%,миллилитр,118,7
Сливки 20%,миллилитр,205,7
Сливки 33%,миллилитр,322,7
Сметана 10%,грамм,115,10
Сметана 15%,грамм,158,10
Сметана 20%,грамм,206,10
Творог 0%,грамм,71,5
Творог 5%,грамм,103,5
Творог 9%,грамм,159,5
Сыр твердый,грамм,363,30
Сыр плавленый,грамм,289,30
Сыр творожный,грамм,253,14
Сыр моцарелла,грамм,280,10
Сыр фета,грамм,290,14
Сыр рикотта,грамм,174,7
Сыр пармезан,грамм,431,60
Сыр сулугуни,грамм,290,14
Брынза,грамм,260,14
Масло сливочное,грамм,717,30
Масло растительное,миллилитр,900,180
Масло оливковое,миллилитр,898,180
Масло кокосовое,грамм,899,180
Масло подсолнечное,миллилитр,900,180
Маргарин,грамм,717,60
Майонез,грамм,627,30
Кетчуп,грамм,93,30
Горчица,грамм,162,180
Соус соевый,миллилитр,53,365
Соус томатный,грамм,63,5
Уксус столовый,миллилитр,0,720
Уксус бальзамический,миллилитр,88,720
Уксус яблочный,миллилитр,21,720
Яйца куриные,штука,157,28
Яйца перепелиные,штука,158,30
Сахар,грамм,387,720
Сахар коричневый,грамм,377,720
Сахарная пудра,грамм,389,360
Мед,грамм,304,720
Джем,грамм,260,365
Повидло,грамм,234,365
Варенье,грамм,259,365
Шоколад темный,грамм,546,180
Шоколад молочный,грамм,529,180
Шоколад белый,грамм,535,180
Какао-порошок,грамм,289,360
Кофе молотый,грамм,0,360
Чай черный,грамм,0,360
Чай зеленый,грамм,0,360
Ванильный сахар,грамм,390,360
Ваниль,грамм,288,720
Корица,грамм,247,720
Кардамон,грамм,311,720
Гвоздика,грамм,274,720
Мускатный орех,грамм,525,720
Имбирь сухой,грамм,335,720
Имбирь свежий,грамм,80,14
Перец черный,грамм,255,720
Перец красный,грамм,318,720
Паприка,грамм,282,720
Лавровый лист,грамм,313,720
Куркума,грамм,312,720
Карри,грамм,325,720
Хмели-сунели,грамм,292,720
Орегано,грамм,306,720
Базилик сухой,грамм,251,720
Розмарин сухой,грамм,331,720
Тимьян сухой,грамм,276,720
Соль,грамм,0,1825
Разрыхлитель,грамм,53,720
Сода пищевая,грамм,0,1825
Дрожжи сухие,грамм,325,360
Дрожжи свежие,грамм,77,7
Желатин,грамм,335,720
Агар-агар,грамм,26,720
Яблоки,грамм,47,14
Груши,грамм,42,7
Бананы,грамм,89,7
Апельсины,грамм,43,14
Мандарины,грамм,33,14
Лимоны,грамм,16,30
Лайм,грамм,30,14
Грейпфрут,грамм,35,14
Киви,грамм,61,7
Ананас,грамм,49,5
Виноград,грамм,69,7
Арбуз,грамм,30,7
Дыня,грамм,33,7
Персики,грамм,39,5
Абрикосы,грамм,41,5
Нектарины,грамм,44,5
Сливы,грамм,46,5
Вишня,грамм,50,3
Черешня,грамм,50,3
Клубника,грамм,32,2
Малина,грамм,52,2
Ежевика,грамм,43,2
Голубика,грамм,57,3
Смородина красная,грамм,43,3
Смородина черная,грамм,44,3
Крыжовник,грамм,44,3
Гранат,грамм,83,30
Авокадо,грамм,160,5
Манго,грамм,60,7
Кокос,грамм,354,30
Грибы лисички,грамм,19,3
Грибы опята,грамм,22,3
Грибы маслята,грамм,19,3
Яблоки сушеные,грамм,253,365
Курага,грамм,241,365
Чернослив,грамм,240,365
Изюм,грамм,279,365
Финики,грамм,277,180
Инжир сушеный,грамм,257,180
Орехи грецкие,грамм,654,180
Орехи кедровые,грамм,673,180
Орехи фундук,грамм,628,180
Орехи миндаль,грамм,609,180
Орехи фисташки,грамм,560,180
Орехи кешью,грамм,553,180
Арахис,грамм,567,180
Семечки подсолнечника,грамм,601,180
Семечки тыквенные,грамм,556,180
Семена льна,грамм,534,180
Семена чиа,грамм,486,180
Семена кунжута,грамм,573,180
Семена мака,грамм,525,180
Кокосовая стружка,грамм,354,180
Вода,миллилитр,0,0
Минеральная вода,миллилитр,0,180
Лимонад,миллилитр,38,2
Сок апельсиновый,миллилитр,45,5
Сок яблочный,миллилитр,46,5
Сок томатный,миллилитр,21,5
Сок виноградный,миллилитр,69,5
Сок вишневый,миллилитр,54,5
Томатная паста,грамм,82,7
Оливки,грамм,115,365
Маслины,грамм,115,365
Каперсы,грамм,23,365
Огурцы соленые,грамм,16,365
Огурцы маринованные,грамм,12,365
Помидоры консервированные,грамм,24,365
Перец консервированный,грамм,27,365
Квашеная капуста,грамм,19,30
Маринованные грибы,грамм,52,365
Лечо,грамм,60,365
Икра кабачковая,грамм,90,365
