recipe_name,ingredient_name,quantity,unit,is_optional
Пельмени домашние,Мука пшеничная,500,грамм,false
Пельмени домашние,Яйца куриные,2,штука,false
Пельмени домашние,Вода,200,миллилитр,false
Пельмени домашние,Соль,2,чайная ложка,false
Пельмени домашние,Фарш говяжий,300,грамм,false
Пельмени домашние,Фарш свиной,200,грамм,false
Пельмени домашние,Лук репчатый,150,грамм,false
Пельмени домашние,Перец черный,1,чайная ложка,false
Пельмени домашние,Сметана 20%,100,грамм,true
Плов с говядиной,Рис,500,грамм,false
Плов с говядиной,Говядина,500,грамм,false
Плов с говядиной,Лук репчатый,200,грамм,false
Плов с говядиной,Морковь,200,грамм,false
Плов с говядиной,Чеснок,1,головка,false
Плов с говядиной,Масло растительное,100,миллилитр,false
Плов с говядиной,Куркума,1,чайная ложка,false
Плов с говядиной,Соль,2,чайная ложка,false
Плов с говядиной,Перец черный,1,чайная ложка,false
Плов с говядиной,Вода,750,миллилитр,false
Блины,Мука пшеничная,300,грамм,false
Блины,Молоко,500,миллилитр,false
Блины,Яйца куриные,3,штука,false
Блины,Сахар,2,столовая ложка,false
Блины,Соль,0.5,чайная ложка,false
Блины,Масло растительное,50,миллилитр,false
Шарлотка с яблоками,Яблоки,800,грамм,false
Шарлотка с яблоками,Яйца куриные,4,штука,false
Шарлотка с яблоками,Сахар,200,грамм,false
Шарлотка с яблоками,Мука пшеничная,200,грамм,false
Шарлотка с яблоками,Разрыхлитель,1,чайная ложка,false
Шарлотка с яблоками,Ванильный сахар,1,чайная ложка,true
Греческий салат,Помидоры,300,грамм,false
Греческий салат,Огурцы,300,грамм,false
Греческий салат,Перец болгарский,200,грамм,false
Греческий салат,Лук репчатый,100,грамм,false
Греческий салат,Сыр фета,200,грамм,false
Греческий салат,Маслины,100,грамм,false
Греческий салат,Масло оливковое,50,миллилитр,false
Греческий салат,Орегано,1,чайная ложка,false
Греческий салат,Соль,0.5,чайная ложка,false
Греческий салат,Лимоны,0.5,штука,true
Картофельное пюре,Картофель,800,грамм,false
Картофельное пюре,Молоко,150,миллилитр,false
Картофельное пюре,Масло сливочное,50,грамм,false
Картофельное пюре,Соль,1,чайная ложка,false
Картофельное пюре,Перец черный,0.5,чайная ложка,true
Котлеты куриные,Фарш куриный,500,грамм,false
Котлеты куриные,Лук репчатый,100,грамм,false
Котлеты куриные,Хлеб белый,100,грамм,false
Котлеты куриные,Молоко,50,миллилитр,false
Котлеты куриные,Яйца куриные,1,штука,false
Котлеты куриные,Соль,1,чайная ложка,false
Котлеты куриные,Перец черный,0.5,чайная ложка,false
Котлеты куриные,Сухари панировочные,100,грамм,false
Котлеты куриные,Масло растительное,50,миллилитр,false
Суп-пюре из тыквы,Тыква,500,грамм,false
Суп-пюре из тыквы,Картофель,200,грамм,false
Суп-пюре из тыквы,Лук репчатый,100,грамм,false
Суп-пюре из тыквы,Чеснок,2,зубчик,false
Суп-пюре из тыквы,Бульон куриный,1,литр,false
Суп-пюре из тыквы,Сливки 20%,100,миллилитр,false
Суп-пюре из тыквы,Соль,1,чайная ложка,false
Суп-пюре из тыквы,Перец черный,0.5,чайная ложка,false
Суп-пюре из тыквы,Мускатный орех,0.5,чайная ложка,true
Рататуй,Баклажаны,300,грамм,false
Рататуй,Кабачки,300,грамм,false
Рататуй,Перец болгарский,200,грамм,false
Рататуй,Помидоры,300,грамм,false
Рататуй,Лук репчатый,100,грамм,false
Рататуй,Чеснок,3,зубчик,false
Рататуй,Масло оливковое,50,миллилитр,false
Рататуй,Соль,1,чайная ложка,false
Рататуй,Перец черный,0.5,чайная ложка,false
Рататуй,Зелень укроп,10,грамм,true
Рататуй,Зелень петрушка,10,грамм,true
Лазанья,Фарш говяжий,300,грамм,false
Лазанья,Фарш свиной,200,грамм,false
Лазанья,Лук репчатый,100,грамм,false
Лазанья,Морковь,100,грамм,false
Лазанья,Томатная паста,2,столовая ложка,false
Лазанья,Макароны,300,грамм,false
Лазанья,Масло сливочное,50,грамм,false
Лазанья,Мука пшеничная,50,грамм,false
Лазанья,Молоко,500,миллилитр,false
Лазанья,Сыр твердый,200,грамм,false
Лазанья,Соль,2,чайная ложка,false
Лазанья,Перец черный,1,чайная ложка,false
Куриный суп с лапшой,Курица (целая),500,грамм,false
Куриный суп с лапшой,Морковь,100,грамм,false
Куриный суп с лапшой,Лук репчатый,100,грамм,false
Куриный суп с лапшой,Сельдерей стебли,50,грамм,true
Куриный суп с лапшой,Макароны,100,грамм,false
Куриный суп с лапшой,Соль,1,чайная ложка,false
Куриный суп с лапшой,Перец черный,0.5,чайная ложка,false
Куриный суп с лапшой,Лавровый лист,1,штука,false
Куриный суп с лапшой,Зелень укроп,10,грамм,true
Куриный суп с лапшой,Зелень петрушка,10,грамм,true
Гуляш из говядины,Говядина,700,грамм,false
Гуляш из говядины,Лук репчатый,200,грамм,false
Гуляш из говядины,Томатная паста,2,столовая ложка,false
Гуляш из говядины,Мука пшеничная,2,столовая ложка,false
Гуляш из говядины,Паприка,2,чайная ложка,false
Гуляш из говядины,Соль,1,чайная ложка,false
Гуляш из говядины,Перец черный,1,чайная ложка,false
Гуляш из говядины,Вода,500,миллилитр,false
Творожная запеканка,Творог 9%,500,грамм,false
Творожная запеканка,Яйца куриные,3,штука,false
Творожная запеканка,Сахар,100,грамм,false
Творожная запеканка,Мука пшеничная,50,грамм,false
Творожная запеканка,Сметана 15%,100,грамм,false
Творожная запеканка,Ванильный сахар,1,чайная ложка,false
Творожная запеканка,Изюм,50,грамм,true
Творожная запеканка,Сливочное масло,20,грамм,false
Винегрет,Свекла,200,грамм,false
Винегрет,Морковь,100,грамм,false
Винегрет,Картофель,200,грамм,false
Винегрет,Огурцы соленые,100,грамм,false
Винегрет,Квашеная капуста,100,грамм,false
Винегрет,Лук репчатый,50,грамм,true
Винегрет,Масло растительное,30,миллилитр,false
Винегрет,Соль,1,чайная ложка,false
Винегрет,Горошек консервированный,50,грамм,true
Фаршированные перцы,Перец болгарский,6,штука,false
Фаршированные перцы,Фарш говяжий,300,грамм,false
Фаршированные перцы,Рис,100,грамм,false
Фаршированные перцы,Лук репчатый,100,грамм,false
Фаршированные перцы,Морковь,100,грамм,false
Фаршированные перцы,Томатная паста,2,столовая ложка,false
Фаршированные перцы,Соль,1,чайная ложка,false
Фаршированные перцы,Перец черный,0.5,чайная ложка,false
Фаршированные перцы,Вода,300,миллилитр,false
Драники,Картофель,1000,грамм,false
Драники,Яйца куриные,1,штука,false
Драники,Лук репчатый,100,грамм,false
Драники,Мука пшеничная,2,столовая ложка,false
Драники,Соль,1,чайная ложка,false
Драники,Перец черный,0.5,чайная ложка,false
Драники,Масло растительное,50,миллилитр,false
Драники,Сметана 15%,100,грамм,true
